id,s/c,question,e1_gold,e1_predict,e2_gold,e2_predict,type_sc,r1_gold,r1_predict,r2_gold,r2_predict,constraint
571,S,Which companies were behind the renovation of McKechnie Field ?,mckechnie_field,mckechnie_field,,,type_true,architect,operator,,,no
572,S,What is the location country of Teperberg 1870 ?,teperberg_1870,teperberg_1870,,,type_true,locationCountry,location,,,no
573,S,what cities are close by LoDaisKa ?,lodaiska_site,lodaiska_site,,,type_true,nearestCity,nearestCity,,,no
574,C,List the softwares which runs on Microsoft Windows and has license as Software as a service?,microsoft_windows,microsoft_windows,software_as_a_service,software_as_a_service,type_true,operatingSystem,operatingSystem,license,license,yes
575,C,Where was the engineer born who manufactured EP R.E.P. 1?,esnault-pelterie_r.e.p._1,esnault-pelterie_r.e.p._1,,,type_true,manufacturer,manufacturer,birthPlace,birthPlace,no
576,C,Which sport at Polytechnic University of the Philippines Taguig is the field of Jon speelman ?,jon_speelman,jon_speelman,polytechnic_university_of_the_philippines_taguig,polytechnic_university_of_the_philippines_taguig,type_true,field,field,sport,sport,no
577,C,Which senator served in military units VMF-155 and VMF-218?,vmf-155,vmf-155,vmf-218,vmf-218,type_true,militaryUnit,militaryBranch,militaryUnit,militaryBranch,yes
578,S,Does the Ontario International Airport serve the Inland Empire?,ontario_international_airport,ontario_international_airport,inland_empire,inland_empire,type_true,cityServed,hubAirport,,,no
579,C,Give me list of people who were the first to climb a peak in the Yosemite park?,yosemite_national_park,yosemite_national_park,,,type_true,locatedInArea,locatedInArea,firstAscentPerson,firstAscentPerson,no
580,C,Which garrison of East Indies Station is also the route end of Mumbai Vadodara Express ?,mumbai_vadodara_expressway,mumbai_vadodara_expressway,east_indies_station,east_indies_station,type_true,routeEnd,routeEnd,garrison,garrison,no
581,S,Does Mauritius follow a parliamentary republic?,mauritius,mauritius,parliamentary_republic,parliamentary_republic,type_true,governmentType,governmentType,,,no
582,C,Count the number of important works done by the writers of The Second Coming?,the_second_coming_(tv_serial),the_second_coming_(tv_serial),,,type_true,author,notableWork,notableWork,notableWork,no
583,S,who owns the ship Victoria?,victoria_(ship),victoria_(ship),,,type_true,owner,owner,,,no
584,C,What is the base currency of the Benelux and is also used as money in Kerguelen Islands?,benelux,benelux,kerguelen_islands,kerguelen_islands,type_true,currency,currency,currency,currency,no
585,C,List the places where the relatives of Mark Donaldson died ?,mark_donaldson_(rugby_player),mark_donaldson_(rugby_player),,,type_true,relatives,relative,deathPlace,deathPlace,no
586,C,Give me everything owned by networks which is lead by Steve Burke?,steve_burke_(businessman),steve_burke_(businessman),,,type_true,keyPerson,keyPerson,network,network,no
587,S,For which teams did Ryan Powell play for?,ryan_powell_(lacrosse),ryan_powell_(lacrosse),,,type_true,team,team,,,no
588,C,Who is the founder of the trade union which affiliates Amalgamated Association of Iron and Steel Workers?,amalgamated_association_of_iron_and_steel_workers,amalgamated_association_of_iron_and_steel_workers,,,type_true,affiliation,affiliation,founded,foundationPlace,yes
589,S,What royalties's sepulchre is Mausoleum of Augustus?,mausoleum_of_augustus,augustus,,,type_true,placeOfBurial,restingPlace,,,no
590,C,How many cars are similar to the ones assembled in the Jefferson North Assembly?,jefferson_north_assembly,jefferson_north_assembly,,,type_true,assembly,assembly,related,relatedMeanOfTransportation,no
591,S,Which state does Jerome B. Chaffee belong ?,jerome_b._chaffee,jerome_b._chaffee,,,type_true,state,region,,,no
592,C,How many TV shows' networks are headquarterd in NY?,new_york,new_york,,,type_true,headquarters,network,network,network,yes
593,C,Where do the politicians Blanche Bruce and John Franklin Miller work?,blanche_bruce,blanche_bruce,john_franklin_miller_(senator),john_franklin_miller_(senator),type_true,office,party,office,party,no
594,C,What region was Gloria Schaffer born in which also contains Newington?,gloria_schaffer,gloria_schaffer,newington_connecticut,newington_college,type_true,birthPlace,birthPlace,isPartOf,region,no
595,C,How many ideologies do the political party of Boonchu Rojanastien hold?,boonchu_rojanastien,boonchu_rojanastien,,,type_true,party,party,ideology,ideology,yes
596,S,Who is married to Gerard Piqu?,gerard_piqu,gerard_piqu,,,type_true,partner,partner,,,no
597,C,Name the TV shows with network as NBC and company as Paramount Television ?,nbc,nbc,paramount_television,paramount_pictures,type_true,network,network,company,company,yes
598,C,Who has composed songs produced by Terry Melcher?,terry_melcher,terry_melcher,,,type_true,producer,producer,composer,lyrics,yes
599,C,Where was the deadbody discovered of one of the alumni of General Educational Development?,general_educational_development,general_educational_development,,,type_true,education,type,bodyDiscovered,residence,no
600,C,Which past members of the The Conglomerate (American group) also sang Take Me There (Blackstreet & Ma song)?,the_conglomerate_(american_group),the_conglomerate_(american_group),take_me_there_(blackstreet_&_m?a_song),take_me_there_(blackstreet_&_m?a_song),type_true,pastMembers,hometown,musicalBand,subsequentWork,no
601,S,Who is the producer of  Frampton's Camel ?,frampton's_camel,frampton's_camel,,,type_true,producer,producer,,,no
602,C,How many developers were involved in creating games whose score is composed by Gerard Marino?,gerard_marino,gerard_marino,,,type_true,composer,musicComposer,developer,developer,no
603,C,Where did these popular aeroplanes - Focke Wulf 260 and Start+Flug H 101 originate?,focke-wulf_fw_260,focke-wulf_fw_260,start_+_flug_h-101,,type_true,nationalOrigin,origin,nationalOrigin,origin,no
604,S,Count the key people of the Clinton Foundation?,clinton_foundation,clinton_foundation,,,type_true,keyPeople,keyPerson,,,no
605,S,Give me someone on the board of trinity house?,trinity_house,newcastle-upon-tyne_trinity_house,,,type_true,board,board,,,no
606,S,Does Timothy Morton study Buddhism?,timothy_morton,timothy_morton,buddhism,,type_true,mainInterests,mainInterest,,,no
607,C,Name a queen whose parent is Ptolemy XII Auletes and consort is Ptolemy XIII Theos Philopator?,ptolemy_xii_auletes,ptolemy_xii_auletes,ptolemy_xiii_theos_philopator,ptolemy_xiii_theos_philopator,type_true,parent,parent,spouse,spouse,yes
608,C,Which universit's affiliation is with Kalpan Inc. and has campus at Iowa ?,kaplan_inc.,kaplan_inc.,iowa,iowa,type_true,affiliations,affiliation,campus,campus,yes
609,C,Which area operataed by the South Side Elevated Railroad is also the place of death of the Sakari Suzuki ?,south_side_elevated_railroad,south_side_elevated_railroad,sakari_suzuki,sakari_suzuki,type_true,operatedBy,operatedBy,deathPlace,deathPlace,no
610,C,Which venues are located at places governed by John Roberts?,john_roberts,john_roberts,,,type_true,leader,designer,address,location,yes
611,C,What is the mascot of the rival school of Sullivan Central High?,sullivan_central_high_school,sullivan_central_high_school,,,type_true,rival,rival,mascot,locationCity,no
612,C,Which Paramount TV show was produced by Glen and Les Charles ?,glen_and_les_charles,glen_and_les_charles,paramount_television,,type_true,executiveProducer,executiveProducer,company,product,yes
613,C,Whose network's parent organisation is Comcast?,comcast,comcast,,,type_false,parentOrganisation,parentOrganisation,network,network,no
614,C,Name the common editor of Easy Street (film) and Work (film)?,easy_street_(film),easy_street_(film),work_(film),work_(film),type_true,editing,editing,editing,editing,no
615,C,Which team did Wilfred McDonalds and Cam Plante play for?,wilfred_mcdonald,wilfred_mcdonald,cam_plante,cam_plante,type_true,playedFor,formerTeam,playedFor,formerTeam,no
616,S,Is Albert P Clark buried in Colorado?,albert_p._clark,albert_p._clark,colorado,colorado,type_true,placeofburial,restingPlace,,,no
617,S,Where was Al Muzaffar Umar buried ?,al-muzaffar_umar,al-muzaffar_umar,,,type_true,placeOfBurial,placeOfBurial,,,no
618,S,Is the Hyundai Lavita assembled in Ulsan?,hyundai_lavita,hyundai_lavita,ulsan,ulsan_hyundai_fc,type_true,assembly,designCompany,,,no
619,C,Who is the producer of album which has the song Money?,money_(pink_floyd_song),,,,type_true,album,producer,producer,producer,no
620,C,Which tv show was preceded by The spirit of Christmas and voice to the character was given by Mona Marshall ?,the_spirit_of_christmas_(short_film),christmas_music,mona_marshall,mona_marshall,type_true,previousWork,previousWork,voices,voice,yes
621,S,Did Alexandre Tichonov study at the Moscow university?,alexandre_tichonov,alexandre_tichonov,moscow,moscow_state_university,type_true,university,university,,,no
622,S,How many members are there in the European Go Federation?,european_go_federation,european_go_federation,,,type_true,membership,leaderFunction,,,no
623,S,List all the notable works of  Russell T Davies?,russell_t_davies,russell_t_davies,,,type_true,notableWork,notableWork,,,no
624,S,To which country does Peter Blay owe his allegiance?,peter_blay,peter_blay,,,type_false,allegiance,country,,,no
625,C,Who has allegiance is Colony of Virginia and buried in Montpelier?,colony_of_virginia,virginia,montpelier_(orange_virginia),montpellier_hsc,type_true,allegiance,restingPlace,restingplace,restingPlace,no
626,C,Give me the list of cars which are the predecessor of Full Sized Cars?,full-size_car,full-size_car,,,type_true,class,predecessor,predecessor,predecessor,yes
627,S,Was Morrissey a member of the Smiths?,the_smiths,the_smiths,morrissey,morrissey,type_true,formerBandMember,formerBandMember,,,no
628,S,Who are the producers of Marie Sisters?,marie_sisters,marie_sisters,,,type_true,producer,producer,,,no
629,S,List the comic characters created by Joe Shuster ?,joe_shuster,joe_shuster,,,type_true,creators,creator,,,no
630,C,Who was on the first team in the GPs that were held at Watkins Glen NY?,watkins_glen_new_york,,,,type_true,location,countySeat,firstTeam,hubAirport,yes
631,S,Who is the military general buried in St Marys Church Battersea?,st_mary's_church_battersea,st_mary's_church_battersea,,,type_true,placeofburial,restingPlace,,,no
632,C,Which wars were fought when the commanders involved served under PM Choi Tu Son?,choi_tu-son,choi_tu_son,,,type_true,primeminister,primeMinister,commander,commander,yes
633,S,Did Jerry Rice study in Oktoc Mississippi?,jerry_rice,jerry_rice,oktoc_mississippi,oktoc,type_true,highSchool,highschool,,,no
634,C,Food in which countries has shallot in it?,shallot,shallot,,,type_false,ingredient,ingredient,country,country,yes
635,S,What are the musical performances whose label is Celluloid Records?,celluloid_records,celluloid_records,,,type_true,label,recordLabel,,,no
636,S,Was andy warhol a part of Pop Art movement?,andy_warhol,andy_warhol,pop_art,pop_art,type_true,movement,movement,,,no
637,C,Which TV show whose theme is composed by someone signed up with ATO records?,ato_records,ato_records,,,type_true,recordLabel,distributingLabel,themeMusicComposer,openingTheme,yes
638,C,What religions do diplomats typically follow?,diplomacy,diplomat,,,type_false,profession,starring,religion,religion,no
639,S,Was Don't Bring Me Down recorded in West Germany?,don't_bring_me_down,don't_bring_me_down,west_germany,west_germany,type_true,recorded,recordedIn,,,no
640,C,Give the name of the  managers of England national under-20 football team and England national under-21 football team?,england_national_under-20_football_team,england_national_under-20_football_team,england_national_under-21_football_team,england_national_under-21_football_team,type_true,managerclubs,managerClub,managerclubs,managerClub,no
641,C,Which sport of Vishwajyot High School is also the genere of Battle chess ,battle_chess,battle_chess,vishwajyot_high_school,vishwajyot_high_school,type_true,genre,computingPlatform,sport,sport,no
642,C,Which ceremonial County of the East Tilbury is also the local authority of the Trinity School Brentwood?,east_tilbury,east_tilbury,trinity_school_brentwood,,type_true,ceremonialCounty,ceremonialCounty,localAuthority,localAuthority,no
643,C,Name the television show where Mona Marshall has given voice and is distributed by Comedy Central?,mona_marshall,mona_marshall,comedy_central,comedy_central,type_true,voices,voice,distributor,broadcastArea,yes
644,C,What city has the football team in which Lee Robinson debuted?,lee_robinson_(american_football),lee_robinson_(american_football),,,type_true,debutTeam,debutTeam,locationCity,locationCity,no
645,S,Who is the chancellor of Falmouth University ?,falmouth_university,falmouth_university,,,type_true,chancellor,chancellor,,,no
646,S,What are the binomial authority of Menetries's warbler?,menetries's_warbler,new_world_warbler,,,type_true,binomialAuthority,order,,,no
647,S,Is greasy pop recording the distributor of festival records?,greasy_pop_records,greasy_neale,festival_records,festival_records,type_true,distributingLabel,distributingLabel,,,no
648,C,Which television show 's producer is Stephen E. Ambrose and written by Erik Jendresen?,stephen_e._ambrose,stephen_e._ambrose,erik_jendresen,erik_jendresen,type_true,producer,producer,writer,producer,yes
649,C,What is the alma mater of the scientists  known for  String theory?,string_theory,string_theory,,,type_true,knownFor,knownFor,almaMater,almaMater,yes
650,C,Who is the developer of the software which is produced by Claris ?,claris,claris,,,type_true,products,developer,developer,developer,yes
651,S,Who is the music composer of Kenny Dies ?,kenny_dies,kenny_mccormick,,,type_true,musicComposer,musicComposer,,,no
652,C,Name the scientist whose supervisor also supervised Mary Ainsworth?,mary_ainsworth,mary_ainsworth,,,type_true,doctoralStudents,doctoralStudent,doctoralAdvisor,knownFor,yes
653,S,By what style was Providence Chapel Charlwood made?,providence_chapel_charlwood,providence_chapel_charlwood,,,type_true,style,architecturalStyle,,,no
654,S,Did Raymond Picard take birth in Paris?,raymond_picard,raymond_picard,paris,joseph_fran?ois_paris,type_true,birthplace,birthPlace,,,no
655,C,Whihc birthplace of Svetlana Gounkina is also the largest city of Union State ?,union_state,union_state,svetlana_gounkina,svetlana_gounkina,type_true,largestCity,ideology,birthPlace,birthPlace,no
656,C,To which series does the book belong which came after the Blade Runner 2?,blade_runner_2:_the_edge_of_human,untitled_blade_runner_sequel,,,type_true,previousWork,subsequentWork,series,series,no
657,C,Which company's cars are assembled in Colombia?,colombia,columbia_records,,,type_false,assembly,related,parentCompany,parentCompany,yes
658,C,In which places do companies founded in Newcastle operate?,city_of_newcastle,city_of_newcastle,,,type_true,foundationPlace,foundationPlace,regionServed,foundationPlace,yes
659,C,Musical artists who are associated with Ren & Angela were born where ?,ren_&_angela,ren_&_angela,,,type_true,associatedActs,associatedBand,birthPlace,associatedMusicalArtist,yes
660,C,Which sects people are part of local political parties which fall under the International Muslim Brotherhood?,muslim_brotherhood,,,,type_true,international,otherParty,religion,veneratedIn,yes
661,C,Whose predecessor had Jenny Macklin as a deputy ?,jenny_macklin,jenny_macklin,,,type_false,deputy,predecessor,predecessor,predecessor,no
662,S,Name  the Pole driver of 1994 Spanish Grand Prix ?,1994_spanish_grand_prix,1994_spanish_grand_prix,,,type_true,poleDriver,poleDriver,,,no
663,S,Who was the First Driver of 1999 San Marino Grand Prix ?,1999_san_marino_grand_prix,1999_san_marino_grand_prix,,,type_true,firstDriver,firstDriver,,,no
664,C,List the universities from a country where Norwegian language is officially accepted.,norwegian_language,norwegian_language,,,type_true,officialLanguage,officialLanguage,country,country,yes
665,C,Name the movie whose screenplay is by Akiva Goldsman and directed by Joel Schumacher ?,akiva_goldsman,akiva_goldsman,joel_schumacher,joel_schumacher,type_true,screenplay,director,director,director,yes
666,C,Where did Georges Wolinski and Judson Huss die,georges_wolinski,georges_wolinski,judson_huss,judson_huss,type_true,placeOfDeath,award,deathPlace,country,no
667,C,Which city is known for the people working in the western penn hospital?,western_pennsylvania_hospital,western_pennsylvania_hospital,,,type_false,workInstitutions,owner,knownFor,owner,yes
668,S,Which team won the American Football League?,american_football_league,american_football_league,,,type_true,champion,team,,,no
669,S,what is the headquarters of Juan Dalmau Ramerez?,juan_dalmau_ram铆rez,,,,type_true,headquarters,stateOfOrigin,,,no
670,S,Who is the leader of Allgemeine SS ?,allgemeine_ss,allgemeine_ss,,,type_true,leader,leader,,,no
671,S,How many important works have been done by Russel Davies?,russell_t_davies,russell_t_davies,,,type_true,notableWork,notableWork,,,no
672,S,What is the birth name  of Putri Raemawasti ?,putri_raemawasti,putri_raemawasti,,,type_true,birthName,birthPlace,,,no
673,S,From where does the river Upper Neretva start flowing?,upper_neretva,upper_neretva,,,type_false,riverMouth,riverMouth,,,no
674,C,What did Steven T Mason's father die from?,stevens_t._mason,stevens_t._mason,,,type_false,child,predecessor,deathCause,deathCause,no
675,C,What made jo garcia and merritt cabal both famous?,jo_garcia,jo_garcia,merritt_cabal,merritt_cabal,type_true,knownFor,knownFor,knownFor,knownFor,no
676,C,Which architect of the Marine Corps Air Station Kaneohe Bay is the branch of the Burnet R. Maybank?,marine_corps_air_station_kaneohe_bay,marine_corps_air_station_kaneohe_bay,burnet_r._maybank,burnet_r._maybank,type_true,architect,architect,branch,predecessor,no
677,S,To which american football teams does the Heinz Field as home stadium?,heinz_field,marek_heinz,,,type_false,tenants,stadium,,,no
678,S,What is the official name of Colorado wine ?,colorado_wine,colorado_wine,,,type_true,officialName,isPartOfWineRegion,,,no
679,C,Count the total number of cast member of the television shows whose actress is Joey McIntyre?,joey_mcintyre,joey_mcintyre,,,type_true,starring,starring,starring,starring,no
680,C,Name the TV show with artist Christopher Franke and cast member Jason Carter ?,christopher_franke,christopher_franke,jason_carter_(actor),jason_carter_(politician),type_true,artist,artist,starring,starring,yes
681,C,Name the office holder with successor as Adrian A Basora and child as Lori Black ?,lori_black,lori_black,adrian_a._basora,adrian_a._basora,type_true,child,child,successor,successor,yes
682,S,does the US navy have the structure of command of us department of defence?,united_states_navy,,united_states_department_of_defense,,type_true,commandStructure,maintainedBy,,,no
683,S,What is the route end of Birmingham and Oxford Junction Railway ?,birmingham_and_oxford_junction_railway,birmingham_and_oxford_junction_railway,,,type_true,routeEnd,routeEnd,,,no
684,S,What is the municipality of Homestead Grays Bridge ?,homestead_grays_bridge,homestead_grays_bridge,,,type_true,municipality,municipality,,,no
685,C,Which fictional character sculpted by Josh Friedmann was portrayed in Terminator 3 ?,josh_friedman,josh_friedman,terminator_3:_rise_of_the_machines,terminator_3:_rise_of_the_machines,type_true,creator,creator,portrayer,portrayer,yes
686,C,Which region of Bannock is the origin od Spaghetti squash ?,spaghetti_squash,spaghetti_squash,bannock_(food),bannock_(food),type_true,origin,species,region,region,no
687,S,Who are the architect of the stadium whose one of the architect is louis D. Astorino ?,louis_d._astorino,louis_d._astorino,,,type_false,architect,architect,,,no
688,C,Give me the sitcoms where Eliza Schneider and Isaac Hayes gave voice?,eliza_schneider,eliza_schneider,isaac_hayes,isaac_hayes,type_true,voices,starring,voices,voice,yes
689,S,Who is the fictional character whose family member is Padme Amidala?,padm_amidala,padm_amidala,,,type_false,family,voice,,,no
690,C,Which notable series of Russell T Davies is also the series of Short Trips: A day in the life ?,short_trips:_a_day_in_the_life,short_trips:_a_day_in_the_life,russell_t_davies,russell_t_davies,type_true,series,series,notableWork,notableWork,no
691,C,What is the birth place of the astronaut whose mission was the Vostok programmer?,vostok_programme,vostok_programme,,,type_true,mission,seeAlso,birthPlace,significantProject,yes
692,C,Name the company which produces both  Boeing F/A-18 E/F Hornet and CH-46 Chinook ?,boeing_ch-47_chinook,,,,type_true,product,product,products,parentCompany,no
693,C,What are the other notable work of the executive producer of The Runaway Bride episode of Doctor Who?,the_runaway_bride_(doctor_who),runaway_bride_(film),,,type_true,executiveProducer,executiveProducer,notableworks,notableWork,no
694,S,Who is the meaning of Isa  ?,isa_(name),isa_(name),,,type_true,meaning,seeAlso,,,no
695,C,Which company founded by Fusajiro Yamauchi also provides services of Nintendo eShop ?,fusajiro_yamauchi,fusajiro_yamauchi,nintendo_eshop,nintendo_eshop,type_true,foundedBy,foundedBy,services,distributor,yes
696,C,What is the official language of Ladonia which is the target area of Probus Journal?,ladonia_(micronation),ladonia_(micronation),probus_(journal),probus_(journal),type_true,officialLanguage,governmentType,academicDiscipline,publisher,no
697,C,Name the movie who has screenplay by Akiva Goldsman and is edited by Mark Stevens ?,akiva_goldsman,akiva_goldsman,mark_stevens_(film_editor),mark_stevens_(actor),type_true,screenplay,director,editing,editing,yes
698,C,How many TV shows are similar to the ones belonging to fantasy genre?,fantasy_television,fantasy,,,type_true,genre,genre,related,related,yes
699,C,How many teams have rented stadiums in Canada?,canada,canada,,,type_true,location,mountainRange,tenants,tenant,no
700,C,What is the sea whose cities are Gdask and Oulu?,gdask,gdask,oulu,oulu,type_true,cities,capital,cities,city,yes
701,C,Total number of places where people drafted in the detroit pistons have died?,detroit_pistons,detroit_pistons,,,type_true,draftTeam,draftTeam,placeOfDeath,deathPlace,yes
702,C,List few musical artist whose notable instruments are Ludwig Drums and  Remo?,ludwig_drums,ludwig_drums,remo,remo,type_true,notableInstruments,instrument,instrument,musicalBand,yes
703,C,Who commanded the invasion of Buwat and made Fatima bint Sa'd famous?,invasion_of_buwat,patrol_of_buwat,fatimah_bint_sa'd,,type_true,commander,commander,knownFor,knownFor,no
704,S,Who are the astronauts associated with NASA?,nasa,nasa,,,type_true,type,associatedMusicalArtist,,,no
705,C,Who all have been presenters on shows by the NBC?,nbc,nbc,,,type_false,channel,presenter,presenter,presenter,yes
706,S,What are the central characters in spy kids series?,spy_kids_(franchise),spy_kids_(franchise),,,type_true,series,series,,,no
707,S,Is William H Blanchard buried in Colorado?,william_h._blanchard,william_h._blanchard,colorado,colorado,type_true,placeofburial,restingPlace,,,no
708,C,What award was won by the father of Angelina Jolie?,angelina_jolie,angelina_jolie,,,type_true,children,child,award,award,no
709,S,What are the hubs of PLUS Helicopter Services a highway helicopter unit of PLUS Expressways?,plus_expressways,plus_helicopter_of_plus_expressways,,,type_false,hubs,hubAirport,,,no
710,C,In how many places are the tombs of people who died in Connecticut Colony?,connecticut_colony,connecticut_colony,,,type_true,placeOfDeath,deathPlace,restingPlace,restingPlace,yes
711,C,Who are the shareholder of the soccer club for whom Steve Holland plays?,steve_holland_(footballer),steve_holland_(footballer),,,type_true,currentclub,managerClub,owner,owner,no
712,C,Where does the river flow into which begins in Lebrsnik?,lebr?nik,lebr?nik,,,type_false,sourcePlace,sourcePlace,riverMouth,riverMouth,no
713,S,What is the colour of Xocolatlite ?,xocolatlite,xocolatlite,,,type_true,colour,colour,,,no
714,C,Name the location of Lekh Castle which is also the location of SamurAbsheron channel ?,lekh_castle,lekh_castle,samurCabsheron_channel,samurCabsheron_channel,type_true,location,location,sourceCountry,sourceCountry,no
715,S,Was True Grit a novel of the western genre?,true_grit_(novel),,western_(genre),,type_true,literaryGenre,literaryGenre,,,no
716,S,Name the president of Wyche Fowler ?,wyche_fowler,wyche_fowler,,,type_true,president,president,,,no
717,C,Which interest of Philip Novak is the relegion of Vesak ?,philip_novak,philip_novak,vesak,vesak,type_true,mainInterests,influencedBy,type,similar,no
718,S,Is semnani one of the languages spoken in Iran?,iran,iran,semnani_languages,semnani_languages,type_true,languages,spokenIn,,,no
719,S,Which movies's screenplay is written by Akiva Goldsman,akiva_goldsman,akiva_goldsman,,,type_false,screenplay,writer,,,no
720,S,What are the movies written by Nick Castle?,nick_castle,nick_castle,,,type_true,writer,writer,,,no
721,C,What city gave birth to Mishal Raheja and also houses New India Assurance?,mishal_raheja,mishal_raheja,new_india_assurance,new_india_assurance,type_true,birthPlace,hometown,location,foundationPlace,no
722,C,Name the Fox TV show judged by Rand Jackson ?,randy_jackson,randy_jackson,fox_broadcasting_company,,type_true,judges,showJudge,channel,channel,yes
723,S,Whihc uni did Joshua A. Siegel attend ?,joshua_a._siegel,joshua_a._siegel,,,type_true,education,knownFor,,,no
724,S,What is the successor of PlayStation 4,playstation_4,playstation_4,,,type_true,successor,successor,,,no
725,S,To which series does Lost special belong to ?,the_lost_special,,,,type_true,series,series,,,no
726,C,List the awards won by the film director of Chicken Run?,chicken_run,chicken_run,,,type_true,director,cinematography,award,award,no
727,S,Was Elton John a chairman of a Watford FC Season?,1999C2000_watford_f.c._season,1999C2000_watford_f.c._season,elton_john,elton_john,type_true,chairman,chairman,,,no
728,S,What is the religious affiliation of Neungin High School?,neungin_high_school,neungin_high_school,,,type_true,religiousAffiliation,religion,,,no
729,S,Who directed The Haunted House ?,the_haunted_house_(1929_film),the_haunted_house_(1929_film),,,type_true,director,director,,,no
730,C,For how many movies are there whose musicians home town is in Volos ?,volos,volos,,,type_true,hometown,hometown,music,musicComposer,yes
731,S,what awards have been given to A. Peter Dewey?,a._peter_dewey,a._peter_dewey,,,type_true,award,award,,,no
732,C,Which Texas based company  was founded by Jim Harris ?,texas,,jim_harris_(entrepreneur),jim_harris_(entrepreneur),type_true,locationCity,company,founder,foundedBy,yes
733,C,Name the officeholder who hasa child named Augustus and has an associate named Marcus Bibulus ?,marcus_calpurnius_bibulus,marcus_calpurnius_bibulus,augustus,augustus,type_true,associate,associate,children,associate,yes
734,C,What are Jerry Bock's musicals based upon?,jerry_bock,jerry_bock,,,type_false,music,musicBy,basedOn,basedOn,yes
735,C,The president who was in office when Lee Hyun Jae was the PM followed which religion?,lee_hyun-jae,lee_hyun-jae,,,type_true,primeminister,primeMinister,religion,president,yes
736,C,What is the religion of the ones in the Kampuchean Union of Salvation?,kampuchean_united_front_for_national_salvation,,,,type_false,militaryBranch,militaryBranch,religion,religion,no
737,C,List the employments of people who died in Tampa Florida.,tampa_florida,tampa_florida,,,type_true,deathPlace,deathPlace,occupation,relation,no
738,C,Which parent organization of GetTV is also the label of next thing ?,next_thing,,gettv,gettv,type_true,recordLabel,recordLabel,parentOrganisation,parentOrganisation,no
739,S,Is Andrew Lincoln the narrator of Million Dollar Traders?,million_dollar_traders,million_dollar_traders,andrew_lincoln,andrew_lincoln,type_true,narrator,narrator,,,no
740,C,List the names of the soccer club seasons whose division is 2012 Campeonato Brasileiro Srie A.,2012_campeonato_brasileiro_srie_a,2012_campeonato_brasileiro_srie_a,,,type_true,league,league,name,homeStadium,yes
741,S,What is the content licence of MSX BASIC ?,msx_basic,msx_basic,,,type_true,license,programmingLanguage,,,no
742,S,What are the notable commanders of the army  whose one of the notable commanders is Paul Hausser?,paul_hausser,paul_hausser,,,type_false,notableCommanders,notableCommander,,,no
743,S,Does StandBy records distribute via Sony?,standby_records,standby_records,sony,sony,type_true,distributingLabel,distributingLabel,,,no
744,S,Is Seattle the Ship builder of USS Marmora (IX-189)?,uss_marmora_(ix-189),uss_marmora_(ix-189),seattle,,type_true,shipBuilder,builder,,,no
745,S,Is Charles Drummond Ellis a doctoral student of James Chadwick?,james_chadwick,james_chadwick,charles_drummond_ellis,charles_drummond_ellis,type_true,doctoralStudent,doctoralStudent,,,no
746,S,What is the purpose of New Zealand Chess Federation ?,new_zealand_chess_federation,new_zealand_chess_federation,,,type_true,purpose,type,,,no
747,C,Under which presidents have politicians from the Continental army served?,continental_army,united_states_army,,,type_true,branch,militaryBranch,president,president,no
748,C,How many universities are there whose country's capital is Oslo?,oslo,oslo,,,type_true,capital,capital,country,academicAdvisor,yes
749,C,Horses sired by Karinga Bay have participated in which races?,karinga_bay,karinga_bay,,,type_true,sire,sire,race,race,yes
750,C,What is the radio show created by Timoteo Jeffries about?,timoteo_jeffries,timoteo_jeffries,,,type_true,creator,presenter,format,format,yes
751,C,Who is associated  with the musical artists from Africa '70 (band) and Tony Allen ?,africa_'70_(band),africa_'70_(band),tony_allen_(musician),tony_allen_(footballer),type_true,associatedMusicalArtist,associatedBand,associatedMusicalArtist,associatedMusicalArtist,yes
752,C,How many religions are followed by the group whose architectural style can be seen on Sanggar Agung?,sanggar_agung,sanggar_agung,,,type_true,architecturalStyle,architecturalStyle,religion,religion,yes
753,C,Which companies makes cars assembled in Karachi Pakistan?,karachi,,,,type_true,assembly,assembly,parentCompany,parentCompany,yes
754,C,Who is the president of Carl Stokes nad Wyche Fowler ?,carl_stokes,,wyche_fowler,,type_true,president,president,president,president,no
755,S,Josef Bhler belongs to which political party?,josef_bhler,josef_bhler,,,type_true,occupation,termPeriod,,,no
756,S,Where is the headquarters of Sigma TV,sigma_tv,sigma_tv,,,type_true,headquarters,locationCountry,,,no
757,C,How many subjects are covered in the publications of Doubleday?,doubleday_(publisher),doubleday_(publisher),,,type_true,publisher,parentCompany,nonFictionSubject,nonFictionSubject,no
758,S,In how many places has Don R. Berlin worked?,don_r._berlin,don_r._berlin,,,type_true,employer,significantProject,,,no
759,S,Was Heinrich Himmler ever a commanders of Army Group Oberrhein?,army_group_oberrhein_(germany),army_group_oberrhein_(germany),heinrich_himmler,heinrich_himmler,type_true,notableCommanders,notableCommander,,,no
760,C,What is the stylistic origin of the music genres where the Bass guitar is important?,bass_guitar,bass_guitar,,,type_true,instruments,genre,stylisticOrigin,stylisticOrigin,yes
761,C,Where did the office holder  who is predecessor to Marco Aurelio Robles died ?,marco_aurelio_robles,marco_aurelio_robles,,,type_true,predecessor,predecessor,placeOfDeath,deathPlace,yes
762,S,List all the schools of the rugby player whose went to school named Pietermaritzburg ?,pietermaritzburg,pietermaritzburg,,,type_false,school,grades,,,no
